culture	phylum	order	class 	family	genus	species
Ach1	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	marplatensis
Art1	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Arthrobacter	oryzae/humicola
Art2	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Arthrobacter	pascens
Art3	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Arthrobacter	halophytocola
Bac1	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	paralicheniformis
Bac2	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	rhizosphaerae/clausii
Bac3	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	subtilis subsp. Inaquosorum/aryabhattai
Bac4	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	tequilensis
Bac5	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	safensis
Bac6	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	pumilus/zhangzhouensis
Bos1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bosea_f	Bosea	robiniae
Bre1	Firmicutes	Bacilli	Bacillales	Bacillaceae	Brevibacterium	frigoritolerans
Bre2	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	borstelensis
Bre3	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	panacihumi
Cup1	Proteobacteria	Betaproteobacteria	Burkholderiales	Ralstonia_f	Cupriavidus	necator
Glu1	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Glutamicibacter	arilaitensis
Lys1	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	halotolerans
Lys2	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	halotolerans
Lys3	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	xylanilyticus
Lys4	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	xylanilyticus
Met1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	radiotolerans
Mic1	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Micrococcus	luteus
Oer1	Actinobacteria	Actinobacteria_c	Micrococcales	Sanguibacteraceae	Oerskovia	turbata
Paa1	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Paenarthrobacter	ilicis
Paa2	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Paenarthrobacter	nitroguajacolicus
Paa3	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Paenarthrobacter	nitroguajacolicus
Pab1	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	lactis
Pan1	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Pandoraea	pnomenusa
Par1	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	xenovorans
Psa1	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Pseudarthrobacter	chlorophenolicus
Psa2	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Pseudarthrobacter	oxydans
Psa3	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Pseudarthrobacter	oxydans
Psa4	Actinobacteria	Actinobacteria_c	Micrococcales	Micrococcaceae	Pseudarthrobacter	siccitolerans
Psm1	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	alcaliphila
Psm10	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	songnenensis
Psm2	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	chengduensis
Psm3	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	anguilliseptica
Psm4	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	extremaustralis
Psm5	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	gessardii
Psm6	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	hunanensis
Psm7	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	hunanensis
Psm8	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	hunanensis
Psm9	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	taiwanensis/plecoglossicida
Rhi1	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	pusense
Rho1	Actinobacteria	Actinobacteria_c	Corynebacteriales	Nocardiaceae	Rhodococcus	erythropolis
Rho2	Actinobacteria	Actinobacteria_c	Corynebacteriales	Nocardiaceae	Rhodococcus	jostii
Rho3	Actinobacteria	Actinobacteria_c	Corynebacteriales	Nocardiaceae	Rhodococcus	pedocola
Sol1	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	isronensis
Spo1	Firmicutes	Bacilli	Bacillales	Planococcaceae	Sporosarcina	koreensis
